Date,County,Year,Month,Label,Active Dem_change,Active Rep_change,Active Uaf_change,Total Active_change,Inactive Dem_change,Inactive Rep_change,Inactive Uaf_change,Total Inactive_change,Grand Total_change,pres_2016_sim_label
2017-05-28,Mineral,2017,may,Swing,-0.003802281368821325,0.006309148264984188,0.0,0.00136986301369868,0.0,0.0,0.0,0.0,0.0012547051442910462,Donald Trump
2017-06-28,Mineral,2017,june,Swing,0.0,0.0,0.013333333333333421,0.002735978112175186,0.0,0.0,0.0,0.0,0.002506265664160345,Donald Trump
2017-07-28,Mineral,2017,july,Swing,-0.007633587786259555,0.006269592476489061,0.039473684210526334,0.008185538881309684,0.0,0.0,0.0,0.0,0.007500000000000062,Donald Trump
2017-08-28,Mineral,2017,aug,Swing,0.015384615384615332,-0.006230529595015577,0.0063291139240506675,0.004059539918809253,0.0,0.0,0.0,0.0,0.0037220843672456367,Donald Trump
2017-09-28,Mineral,2017,sept,Swing,-0.007575757575757569,-0.0031347962382445305,0.0,-0.0040431266846361336,0.0,0.0,0.0,0.0,-0.003708281829419069,Donald Trump
2017-10-28,Mineral,2017,oct,Swing,-0.011450381679389277,-0.0031446540880503138,0.044025157232704386,0.004059539918809253,0.0,0.0,0.0,0.0,0.0037220843672456367,Donald Trump
2016-11-28,Moffat,2016,nov,REP,0.023752969121140218,0.02068641278796424,-0.00610820244328103,0.012723335138061788,-0.015189873417721487,-0.005030181086519092,0.0474100087796312,0.017009493670886,0.013816054860831041,Donald Trump
2016-12-28,Moffat,2016,dec,REP,-0.0034802784222738303,-0.0025333947489636355,-0.0065847234416154254,-0.003875968992248069,-0.1850899742930592,-0.17189079878665314,-0.15758591785414922,-0.16725009723842865,-0.04565801253357205,Donald Trump
2017-01-28,Moffat,2017,jan,REP,0.0011641443538998875,0.00023089355806971132,0.0,0.00026834831611433074,-0.018927444794952675,-0.01098901098901095,-0.003980099502487565,-0.008874357776739837,-0.0017719407963310285,Donald Trump
2017-02-28,Moffat,2017,feb,REP,0.0,0.003231763619575334,0.015466195315952282,0.00657276995305156,0.0,-0.004938271604938316,-0.005994005994006013,-0.004712535344015056,0.004072256447739342,Donald Trump
2017-03-28,Moffat,2017,mar,REP,0.0023255813953488857,0.00644270593649332,0.0056570931244559475,0.005730277185501009,-0.006430868167202619,-0.011166253101737024,-0.01005025125628145,-0.00994318181818177,0.0022878535773711572,Donald Trump
2017-04-28,Moffat,2017,apr,REP,-0.001160092807424573,0.0009144947416552807,0.0017308524448291784,0.0009275208692196557,0.0,-0.0025094102885822034,-0.0020304568527919065,-0.001912960306073685,0.00031126789790403286,Donald Trump
2017-05-28,Moffat,2017,may,REP,-0.003484320557491261,-0.0009136592051165461,0.0,-0.0009266613714588037,0.0032362459546926288,0.002515723270440251,-0.004069175991861629,-0.0004791566842357042,-0.0008297894409293737,Donald Trump
2017-06-28,Moffat,2017,june,REP,0.003496503496503545,-0.00022862368541376465,0.005615550755939447,0.0019875447197561518,-0.006451612903225823,-0.008782936010037656,-0.0040858018386108474,-0.006232023010546484,0.0002076196408180575,Donald Trump
2017-07-28,Moffat,2017,july,REP,-0.006968641114982632,-0.0011433798307798335,0.00816151202749138,0.0010579211848718018,0.0,-0.0012658227848101331,-0.00512820512820511,-0.0028943560057886892,0.00020757654385050728,Donald Trump
2017-08-28,Moffat,2017,aug,REP,-0.004678362573099393,0.00045787545787545625,0.024286322965487942,0.007265521796565365,-0.00649350649350644,-0.0025348542458808465,-0.005154639175257714,-0.004354136429608135,0.004773269689737568,Donald Trump
2017-09-28,Moffat,2017,sept,REP,0.00235017626321965,-0.0018306636155606129,0.010815307820299493,0.002622950819672232,0.006535947712418277,0.01397712833545106,0.0,0.00631681243926141,0.003408034699989626,Donald Trump
